STATE,CONSTITUENCY,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,TOTAL VOTES,TOTAL ELECTORS,ASSETS,LIABILITIES
Madhya Pradesh,BALAGHAT,0,4,Elephant,1,6,68.0,1,5,85177,1767725,20550745,2200000
Madhya Pradesh,BALAGHAT,0,18,Auto- Rickshaw,1,0,62.0,1,4,47220,1767725,44244840,0
Odisha,BALASORE,1,1,Lotus,1,7,64.0,1,4,483858,1531781,1346236,160
Odisha,BALASORE,0,37,Conch,1,0,51.0,1,5,470902,1531781,726151097,63341667
Odisha,BALASORE,0,3,Hand,1,0,46.0,1,8,179403,1531781,1042005000,1079582000
Uttar Pradesh,BALLIA,1,1,Lotus,1,2,62.0,1,4,469114,1822625,24498319,0
Uttar Pradesh,BALLIA,0,12,Bicycle,1,5,56.0,1,5,453595,1822625,26500222,531827
Uttar Pradesh,BALLIA,0,17,Walking Stick,1,3,51.0,1,1,35900,1822625,67939301,0
West Bengal,BALURGHAT,1,1,Lotus,1,0,39.0,1,3,539317,1431704,5825866,2168170
West Bengal,BALURGHAT,0,10,Flowers and Grass,2,0,52.0,1,4,506024,1431704,2824728,0
West Bengal,BALURGHAT,0,11,Spade & Stoker,1,0,50.0,2,6,72990,1431704,4632504,0
West Bengal,BALURGHAT,0,3,Hand,1,4,40.0,1,8,36783,1431704,21868500,9884000
Gujarat,BANASKANTHA,1,1,Lotus,1,0,70.0,1,8,679108,1697384,41819177,4500000
Gujarat,BANASKANTHA,0,3,Hand,1,1,75.0,1,6,310812,1697384,40404078,2164385
Gujarat,BANASKANTHA,0,18,Gas Cylinder,1,0,39.0,1,7,48634,1697384,1705000,0
Gujarat,BANASKANTHA,0,4,Elephant,1,1,49.0,1,9,11088,1697384,7985000,1800000
Gujarat,BANASKANTHA,0,18,DIAMOND,2,0,33.0,1,4,11069,1697384,2578000,2306381
Uttar Pradesh,BANDA,1,1,Lotus,1,2,59.0,1,4,477926,1702024,55794086,0
Uttar Pradesh,BANDA,0,12,Bicycle,1,0,74.0,1,8,418988,1702024,655645059,0
Uttar Pradesh,BANDA,0,3,Hand,1,8,59.0,1,1,75438,1702024,43232650,13868284
Uttar Pradesh,BANDA,0,45,Key,1,0,37.0,1,1,12747,1702024,2995889,0
Karnataka,BANGALORE CENTRAL,1,1,Lotus,1,0,55.0,1,1,602853,2204817,755529306,312521957
Karnataka,BANGALORE CENTRAL,0,3,Hand,1,0,39.0,1,4,531885,2204817,158434648,45079101
Karnataka,BANGALORE CENTRAL,0,18,Whistle,1,1,53.0,1,1,28906,2204817,320963268,38320377
Karnataka,BANGALORE NORTH,1,1,Lotus,1,0,66.0,1,8,824500,2849250,209384539,104302653
Karnataka,BANGALORE NORTH,0,3,Hand,1,0,46.0,1,2,676982,2849250,132509044,15596951
Karnataka,BANGALORE RURAL,1,3,Hand,1,5,52.0,1,1,878258,2497458,3388920717,519320305
Karnataka,BANGALORE RURAL,0,1,Lotus,1,2,59.0,1,6,671388,2497458,293535096,0
Karnataka,BANGALORE RURAL,0,4,Elephant,1,0,43.0,2,4,19972,2497458,8810000,500000
Karnataka,BANGALORE SOUTH,1,1,Lotus,1,0,28.0,1,8,739229,2215489,1346593,0
Karnataka,BANGALORE SOUTH,0,3,Hand,1,0,64.0,1,4,408037,2215489,150801799,34400000
West Bengal,BANGAON,1,1,Lotus,1,8,37.0,2,4,687622,1704632,5265388,0
West Bengal,BANGAON,0,10,Flowers and Grass,2,4,51.0,2,11,576028,1704632,22042316,0
West Bengal,BANGAON,0,8,"Hammer, Sickle and Star",1,1,55.0,2,8,90122,1704632,5556977,524879
West Bengal,BANGAON,0,3,Hand,1,3,28.0,2,2,22618,1704632,3026068,39999
Bihar,BANKA,1,46,Arrow,1,1,58.0,1,2,477788,1699394,19816050,405701
Bihar,BANKA,0,30,Hurricane Lamp,1,2,65.0,1,2,277256,1699394,68739932,618721
Bihar,BANKA,0,18,Gas Cylinder,2,3,61.0,1,2,103729,1699394,53801629,1700000
Bihar,BANKA,0,18,FLUTE,1,0,44.0,1,6,44398,1699394,41500,0
Bihar,BANKA,0,18,Baby Walker,1,0,46.0,1,1,17025,1699394,7341490,0
Bihar,BANKA,0,18,Black Board,1,0,38.0,1,9,14229,1699394,2605273,0
Bihar,BANKA,0,4,Elephant,1,1,50.0,1,4,11960,1699394,16862361,97503
West Bengal,BANKURA,1,1,Lotus,1,1,65.0,1,8,675319,1648906,19799440,3261495
West Bengal,BANKURA,0,10,Flowers and Grass,1,2,72.0,1,2,500986,1648906,12235759,0
